	sequences per sample	iteration	K3.H	K3.Z	M2.Middle.L	K3.A	K3.V	K3.K	K3.B	K3.C	M2.Thumb.L	M2.Pinky.L	K3.E	M2.Middle.R	M3.Pinky.L	K1.Space	K1.N	K1.Shift.R	M3.Pinky.R	K3.Enter	K3.U	K3.Q	K3.Space	K1.Y	M2.Index.R	K3.G	K1.G	M3.Thumb.R	K1.R	K1.M	K3.J	K3.Y	K3.T	M2.Ring.R	K1.W	K1.T	M3.Middle.L	K3.I	M3.Ring.R	K1.B	K2.G	K3.W	K3.M	K2.B	K1.P	K2.N	M3.Index.R	K3.L	K3.F	K1.L	K1.H	K1.V	K2.Enter	M3.Ring.L	K1.C	K3.O	K2.F	M9.Middle.R	M9.Ring.R	M9.Thumb.L	K1.Q	K2.Y	M3.Middle.R	M9.Thumb.R	M3.Thumb.L	M2.Pinky.R	K3.Shift.R	K3.Shift.L	K2.E	M9.Pinky.R	K1.X	M9.Ring.L	K2.S	K2.H	K1.E	M2.Thumb.R	M2.Ring.L	K2.C	M9.Index.R	M2.Index.L	K2.V	K2.O	M9.Index.L	K2.W	K2.D	M3.Index.L	M9.Pinky.L	K3.S	K3.D	K2.X	K2.A	K2.P	M9.Middle.L	K2.M
alpha_rarefaction_10_0.txt	10	0	1.69881	1.98287	1.37072	1.31026	1.91987	1.53185	2.14428	1.63552	1.53029	1.89846	1.57813	1.4213	1.02588	1.41571	1.44486	1.11815	0.74608	1.47827	1.59486	2.03409	1.83731	0.71261	1.87712	1.44765	0.63874	1.2263	1.69487	1.70011	1.54885	1.40641	1.71572	1.46417	0.7003	1.40534	1.31086	1.67942	0.81331	0.80216	0.94503	1.93151	1.16586	0.95244	1.15832	0.90565	1.27186	1.68726	2.12649	2.53999	0.63874	1.47036	0.79107	0.22227	1.26874	2.07668	0.76572	0.22227	0.57285	1.26763	0.96816	0.7987	1.13921	1.00924	0.71312	1.76045	1.52895	1.27157	0.29	0.87842	1.37955	0.64948	1.18653	0.97309	1.50375	2.06955	1.71474	0.22241	0.57285	1.11278	0.61457	0.56738	0.75068	0.29629	1.03057	0.73542	1.38662	1.64434	1.64419	0.82275	1.09334	0.71771	0.89774	0.63598
alpha_rarefaction_10_1.txt	10	1	2.06623	2.43526	1.63821	1.29326	1.57578	1.74392	1.67027	1.60876	1.35391	1.28215	1.91215	0.90674	1.64886	0.85719	0.22227	1.98389	0.72236	1.52786	1.29074	1.9078	2.38739	0.915	1.52377	1.87948	1.17083	1.50698	1.16629	1.44295	2.23722	1.39553	1.73388	1.38368	0.84215	1.3535	0.74704	1.28588	1.65633	0.22227	1.22364	1.69995	1.4119	0.57285	0.63859	0.22227	0.79258	1.75261	2.07001	1.74985	1.10887	1.03727	0.46726	0.66182	0.59471	1.38096	1.53472	0.92029	0.61457	1.12797	1.39669	0.61457	0.85792	1.01469	0.93382	1.69541	1.43446	1.44927	0.22241	0.80323	1.12241	0.75025	0.22227	1.28886	1.13475	1.68899	1.37162	0.4999	0.22227	1.37516	0.83403	0.56738	1.23534	0.63445	0.22227	0.68859	0.66588	1.41198	1.59706	0.22227	1.60979	0.75649	0.69579	1.03693
alpha_rarefaction_10_2.txt	10	2	2.04523	1.54285	1.20543	1.05773	1.61718	1.42059	1.63032	1.91825	1.41292	1.26209	1.30011	2.1128	0.79827	0.63874	1.06531	0.72781	1.1682	1.24677	1.18738	2.37631	2.37646	0.74113	1.38966	1.31367	1.0717	1.253	0.86315	1.08059	1.75807	1.92448	1.45024	1.6185	0.63859	0.95169	1.37023	2.11362	1.24737	0.22227	1.14358	1.27728	1.46673	1.06841	1.02974	0.22227	1.67857	1.82928	1.83836	0.63874	1.61957	1.09323	0.56752	0.67103	0.32172	1.50924	0.8782	0.74527	0.57319	0.8247	0.77168	1.00314	2.01528	0.75098	1.01477	1.71824	1.27926	1.30223	0.75068	0.6637	1.01401	0.86456	0.6304	0.68859	1.07633	1.22357	1.28566	0.57276	0.61457	1.91365	0.59511	0.24216	1.42686	0.75068	0.23801	1.45449	0.22694	1.51732	1.59652	0.6481	0.66768	0.8232	0.88769	0.68031
alpha_rarefaction_10_3.txt	10	3	1.55895	1.98694	1.56079	1.85162	2.5262	1.42991	1.41623	1.77266	1.62018	1.53369	2.44042	1.2807	1.96632	1.19508	0.77106	1.68479	1.07724	1.40659	1.96824	2.34359	1.87136	1.23973	1.45537	1.17134	0.57276	1.28767	1.47332	1.37767	2.29646	1.60048	1.36186	1.10764	0.80966	0.26147	0.77211	1.43481	1.23539	1.41153	1.12645	1.69163	2.17384	0.72346	0.66374	0.88329	1.65416	2.47562	1.53017	1.41024	0.63874	0.36743	1.00718	1.00314	0.63874	1.34954	0.92813	0.77291	0.5878	0.64106	1.17543	1.4195	0.88654	0.84024	0.25564	1.11482	1.48536	1.63875	1.25703	0.72078	1.04492	0.57276	0.67205	0.65445	1.31172	1.35909	1.16536	0.61457	0.22227	1.66189	1.01712	0.61457	0.87273	0.5885	0.4264	0.98779	0.72502	1.63143	1.44888	0.61457	0.68873	0.80816	0.22227	1.01254
alpha_rarefaction_10_4.txt	10	4	2.42448	2.15355	1.16326	1.44788	2.3953	2.23125	1.75742	2.14317	1.69309	1.7895	1.67948	1.44792	1.70918	0.83974	1.28801	1.25636	0.7478	1.3195	1.15698	2.06247	2.49783	0.67351	1.00966	1.57227	0.97982	1.79563	1.44742	0.92635	2.02131	1.44862	1.20395	1.07897	0.8423	0.85948	0.30391	1.69463	1.78561	1.32455	0.64573	1.23012	1.0763	1.00848	0.71261	0.27975	1.28232	1.251	1.62755	2.00211	1.24186	0.96262	0.92739	0.57263	0.45626	1.58336	0.75068	0.49976	1.01273	0.71608	0.96499	0.64899	1.46518	0.61457	1.25099	1.66323	1.32615	1.40888	0.75068	0.75068	1.20612	0.29629	1.05042	0.61457	0.61457	1.92078	1.27463	0.82008	1.34268	0.98159	0.77023	0.85595	1.2053	0.22227	0.97309	1.57159	0.24268	1.27054	1.87676	0.85233	1.14604	1.1101	0.22227	0.22227
alpha_rarefaction_10_5.txt	10	5	1.32809	1.81661	1.82846	2.04844	1.23316	1.32605	1.68989	1.37903	1.55592	1.19169	1.76436	1.27852	2.09962	0.76572	0.65219	0.80675	1.08069	1.15321	1.80386	1.57433	2.33157	0.65848	1.49888	2.26925	0.94705	0.85111	1.4611	0.9598	1.8597	1.17602	1.28588	1.70594	0.84976	1.16159	1.44593	1.80561	1.39859	0.91736	0.84215	1.18454	1.92343	0.68859	1.54501	0.69156	1.30891	1.77595	2.34638	1.08729	0.63874	1.53671	1.29526	0.90394	0.56783	1.40097	1.74188	0.64772	0.87414	0.74205	1.68543	0.92211	0.62444	0.80252	1.05925	0.98233	1.7855	2.00255	0.22241	0.22227	0.63859	0.85648	0.22241	0.83578	0.61471	1.75273	1.25651	0.22227	0.35951	1.69689	0.93128	0.60958	1.27342	0.84468	0.22227	1.07508	0.87032	1.78236	1.92493	1.27571	0.98952	1.40014	0.64106	0.62486
alpha_rarefaction_10_6.txt	10	6	1.54733	1.64087	1.04115	1.60722	1.83644	1.65819	1.63949	1.84054	1.31492	1.80719	1.4032	1.87106	1.82976	0.59471	1.15642	1.16823	1.42823	1.59334	1.42043	2.25029	1.94213	1.26871	1.93629	1.92085	0.69657	0.67351	1.21409	1.94983	2.01994	1.59209	1.4859	1.69961	0.61457	0.84215	1.09468	1.24315	1.27682	0.35474	0.71555	1.5378	1.57843	0.61054	1.79773	0.61457	0.60804	2.48426	1.80108	1.66594	1.28725	0.71491	0.85074	0.22227	0.90129	1.38829	0.6406	0.85648	0.85648	1.09901	0.27377	1.53017	1.92487	0.84008	1.62522	1.87048	1.70615	1.57691	0.87229	0.57825	0.88396	0.91676	0.94325	0.97309	0.88396	1.603	1.61496	1.02285	0.58893	1.52844	0.6586	1.15102	0.75068	0.70433	0.75973	0.73296	0.75082	1.63198	1.0716	0.78421	0.3278	0.22227	0.66094	0.82044
alpha_rarefaction_10_7.txt	10	7	1.66177	2.49106	1.26823	1.83	2.74029	1.10269	1.90289	1.37029	1.43387	1.17287	1.81776	1.80065	1.90907	1.71226	0.71261	0.86817	1.17215	1.73831	1.54526	1.86875	2.14468	1.27013	1.41921	1.4414	1.6691	1.13347	1.2144	0.65219	1.84475	1.5246	1.32247	1.34597	1.26651	1.44949	0.84008	2.19917	1.43553	0.74139	0.22227	1.25315	1.57181	1.01758	0.98245	0.79289	1.82977	1.71814	1.41463	0.36178	1.36004	0.81929	0.32966	0.35474	0.61457	1.83025	0.96582	1.15898	0.83755	1.47264	0.58794	0.64914	1.20385	0.84405	1.1563	1.07769	1.06483	1.43882	0.89898	1.54285	0.63859	0.42699	0.80238	0.78069	0.61471	1.66228	1.21823	1.67113	0.73421	2.02453	0.22227	1.00186	0.57276	0.22227	1.28541	1.02394	0.66754	1.17587	1.7321	0.91867	1.2277	1.07201	0.67434	0.22227
alpha_rarefaction_10_8.txt	10	8	1.85065	1.86719	1.517	1.41008	1.70409	1.22726	1.51248	2.2326	1.12966	1.19418	1.93891	1.48464	0.35006	0.22227	1.19178	1.34565	0.79142	1.54266	2.06174	1.78275	1.83229	1.30191	1.32755	2.0729	0.89069	1.03511	0.84215	0.84479	1.77952	1.52779	0.99844	1.67069	1.39825	1.19615	0.7453	2.20308	1.82771	0.22227	0.22227	1.43744	1.64624	1.08499	0.93253	0.79142	1.35071	1.72297	1.69269	0.85548	0.63859	0.63598	0.81889	1.29637	1.01054	1.69241	0.7436	1.31502	0.53313	1.00847	0.73597	0.84008	0.95107	0.35703	0.67351	1.24251	0.92162	0.8279	1.40362	0.66888	1.00199	0.22227	0.74575	0.97309	1.07731	1.45297	1.44585	0.22227	1.164	1.59549	0.76519	0.61457	0.7262	0.78978	0.44628	0.27233	1.40992	1.94199	2.10574	0.61471	1.44875	0.61457	0.69579	0.99115
alpha_rarefaction_10_9.txt	10	9	1.18234	1.49247	1.35314	2.12266	1.40122	2.05745	0.85201	2.33278	1.33608	1.47535	2.04818	1.75386	2.61751	0.76716	1.15838	1.54105	1.30889	2.1512	1.95653	1.49141	1.9063	0.8178	1.7004	1.71113	1.33005	0.84045	1.04121	0.8552	1.73979	1.26208	1.26805	1.58128	0.95458	1.17083	0.88396	1.92332	1.33001	0.71	0.8911	1.63299	1.16307	1.24062	1.74648	0.63859	1.0102	2.16831	2.08024	2.16871	0.8882	0.29859	1.59352	0.35474	0.79334	1.36867	1.12482	0.30112	0.57276	1.51871	1.27545	0.62459	1.82994	1.00886	1.0466	1.74439	1.1408	1.52037	0.27524	0.7134	0.59565	1.05466	1.19846	0.61457	1.39389	1.79575	1.20426	0.74575	1.31137	1.87795	0.63919	0.86386	1.0429	0.8686	0.71014	0.68148	0.87606	1.12042	1.12221	0.22227	1.56146	0.68859	1.00603	0.71872
