	K3.H	K3.Z	M2.Middle.L	K3.A	K3.V	K3.K	K3.B	K3.C	M2.Thumb.L	M2.Pinky.L	K3.E	M2.Middle.R	M3.Pinky.L	K1.Space	K1.N	K1.Shift.R	M3.Pinky.R	K3.Enter	K3.U	K3.Q	K3.Space	K1.Y	M2.Index.R	K3.G	K1.G	M3.Thumb.R	K1.R	K1.M	K3.J	K3.Y	K3.T	M2.Ring.R	K1.W	K1.T	M3.Middle.L	K3.I	M3.Ring.R	K1.B	K2.G	K3.W	K3.M	K2.B	K1.P	K2.N	M3.Index.R	K3.L	K3.F	K1.L	K1.H	K1.V	K2.Enter	M3.Ring.L	K1.C	K3.O	K2.F	M9.Middle.R	M9.Ring.R	M9.Thumb.L	K1.Q	K2.Y	M3.Middle.R	M9.Thumb.R	M3.Thumb.L	M2.Pinky.R	K3.Shift.R	K3.Shift.L	K2.E	M9.Pinky.R	K1.X	M9.Ring.L	K2.S	K2.H	K1.E	M2.Thumb.R	M2.Ring.L	K2.C	M9.Index.R	M2.Index.L	K2.V	K2.O	M9.Index.L	K2.W	K2.D	M3.Index.L	M9.Pinky.L	K3.S	K3.D	K2.X	K2.A	K2.P	M9.Middle.L	K2.M
K3.H	0.0	0.27082205	0.3768275	0.1654557	0.15976025	0.16521225	0.12235305	0.3261861	0.3590111	0.22647055	0.3687884	0.23875105	0.2729904	0.3172966	0.31737205	0.28727575	0.2501281	0.1363902	0.14730565	0.17844385	0.16086885	0.3014296	0.2114184	0.1271003	0.30351025	0.2967056	0.25628215	0.2977885	0.1351701	0.13195475	0.18929145	0.2664439	0.29633525	0.2892844	0.3250785	0.1638548	0.20696445	0.3327233	0.32883465	0.26551425	0.14769335	0.3039907	0.29882435	0.32994835	0.2586546	0.15713715	0.21017605	0.31210255	0.30895165	0.32191735	0.3003937	0.3407002	0.349066	0.14441675	0.3034317	0.3351865	0.3267786	0.31247145	0.28728025	0.33009235	0.2405498	0.27737375	0.33777025	0.23122585	0.1408448	0.1367957	0.3422621	0.3315313	0.29952305	0.33294335	0.3257145	0.3209517	0.29560465	0.19141035	0.3659587	0.33889225	0.32785755	0.2608927	0.3165576	0.3265967	0.2486468	0.3553175	0.3304632	0.3127961	0.3105988	0.25769005	0.31781995	0.3351531	0.3428006	0.347333	0.35241105	0.31665375
K3.Z	0.27082205	0.0	0.31090735	0.20454835	0.1767427	0.280283	0.2435389	0.13846975	0.30911945	0.3088587	0.18889905	0.2911165	0.32865105	0.39177075	0.3989935	0.3539238	0.33648895	0.25557245	0.2698258	0.1722446	0.1827476	0.38053505	0.31790575	0.25083795	0.3948011	0.37471375	0.3512357	0.36342915	0.25686555	0.2865559	0.2468108	0.31499015	0.3795946	0.38692895	0.37245365	0.21347055	0.3483958	0.39963535	0.3979861	0.2594477	0.2926176	0.37984315	0.3735265	0.3912779	0.35359875	0.2314379	0.1753146	0.3603703	0.3990327	0.4050078	0.37566955	0.41496695	0.41374155	0.2877823	0.36655375	0.39813055	0.39637895	0.3807283	0.3556357	0.4031296	0.32979925	0.3611148	0.4007412	0.3238101	0.24854575	0.25799985	0.40330625	0.39793545	0.393987	0.3978335	0.38831365	0.38263365	0.360502	0.3085241	0.38727085	0.4044213	0.396401	0.31667685	0.37709375	0.38687015	0.38551735	0.42335125	0.39159505	0.38594675	0.38163945	0.3020929	0.144306	0.39942265	0.38889975	0.38941555	0.4153551	0.3940037
M2.Middle.L	0.3768275	0.31090735	0.0	0.2661278	0.29306475	0.30177525	0.31686565	0.268486	0.0898732	0.20669425	0.3174115	0.23660755	0.358808	0.3831564	0.37247425	0.35340895	0.3508295	0.3188669	0.32542105	0.29728735	0.31880065	0.3708012	0.2930304	0.3413906	0.37254125	0.3797867	0.35746505	0.3577493	0.3327899	0.34137185	0.24272285	0.1762084	0.35845015	0.3653669	0.3756043	0.3247228	0.37002085	0.3784799	0.37452725	0.18679515	0.34042365	0.3728038	0.36487255	0.36321985	0.3577489	0.30279865	0.23559035	0.38464155	0.36904385	0.37381805	0.3742659	0.3705696	0.3848882	0.31886465	0.3677539	0.3773366	0.3751997	0.36999805	0.34466075	0.36145035	0.3283028	0.36595405	0.37620535	0.25580975	0.2806386	0.308022	0.388134	0.3752889	0.36454565	0.37676075	0.3722273	0.3772368	0.35100095	0.29768955	0.1784755	0.37189385	0.37691835	0.1670538	0.3637812	0.374996	0.3957713	0.3807338	0.3801435	0.3766656	0.3715427	0.21106225	0.26402015	0.375569	0.3839965	0.3901009	0.38508705	0.37118815
K3.A	0.1654557	0.20454835	0.2661278	0.0	0.12448205	0.19071615	0.12331465	0.2097514	0.2467012	0.16376955	0.2705165	0.21861685	0.3177677	0.3408382	0.34852555	0.31669195	0.3056895	0.1834473	0.16538965	0.11609635	0.14707215	0.3291848	0.2202184	0.1561227	0.34663975	0.3162683	0.29035915	0.3274873	0.1914616	0.18348765	0.12280095	0.2066362	0.32545365	0.3334383	0.3547048	0.1548589	0.28943685	0.3516278	0.34200005	0.17221645	0.20514965	0.325389	0.33150565	0.34007325	0.2802014	0.15404105	0.13537975	0.36227135	0.34515745	0.35117195	0.3187683	0.3586464	0.3636228	0.18867025	0.3285375	0.3463338	0.3430451	0.32079395	0.31152555	0.35071465	0.2647617	0.29926485	0.35135105	0.18882615	0.1070327	0.1667417	0.3516201	0.3382566	0.33714385	0.34609185	0.3398603	0.3339073	0.31198995	0.20395365	0.2933855	0.34916175	0.33686395	0.1906186	0.3200008	0.3456455	0.2981837	0.3636659	0.3384398	0.3420413	0.3310948	0.20019135	0.19482795	0.348836	0.359898	0.367005	0.36077795	0.33331235
K3.V	0.15976025	0.1767427	0.29306475	0.12448205	0.0	0.1767404	0.1292199	0.22750215	0.27528505	0.2123185	0.28123895	0.1912696	0.28911005	0.33721225	0.3451157	0.2998522	0.28542915	0.15060895	0.1534703	0.0988238	0.1110031	0.32534315	0.18238195	0.11249475	0.3419629	0.30937595	0.2863558	0.31736165	0.12125845	0.1735166	0.1389422	0.22390525	0.3227707	0.33366765	0.32810385	0.13699075	0.2593383	0.34519585	0.3430638	0.2012922	0.1714135	0.32712945	0.3218157	0.3389773	0.27562015	0.1499662	0.1217154	0.3371775	0.3449666	0.3533535	0.32176885	0.36201615	0.36214765	0.1553804	0.32118795	0.34369395	0.33911815	0.3193496	0.308084	0.3464261	0.25943045	0.2853672	0.3494343	0.2198552	0.13780335	0.13171095	0.35285995	0.34247805	0.3306476	0.3414531	0.33681145	0.33358975	0.3038996	0.1758331	0.32734545	0.3534037	0.336873	0.23144345	0.32099215	0.33473385	0.28593085	0.36862565	0.33358585	0.33304065	0.31508835	0.2268415	0.2173147	0.34750365	0.34065425	0.34669795	0.3586848	0.3371341
K3.K	0.16521225	0.280283	0.30177525	0.19071615	0.1767404	0.0	0.1544186	0.30760795	0.28210155	0.2124606	0.36077105	0.1862174	0.21691225	0.23024885	0.2354254	0.207661	0.20219775	0.08450755	0.126971	0.1950581	0.1804818	0.21942795	0.14603345	0.13678855	0.2317102	0.20562905	0.1829019	0.21826085	0.14900565	0.1403673	0.1505442	0.21376075	0.2105696	0.22496095	0.24337735	0.18507215	0.1632967	0.24692765	0.2362538	0.2074901	0.1065342	0.21417615	0.2212144	0.2370367	0.17119945	0.1698554	0.1856299	0.2527517	0.23569	0.2425049	0.21469695	0.25002455	0.25446445	0.1061472	0.22091715	0.23718805	0.23718215	0.2214312	0.21165	0.2399551	0.17374245	0.1972929	0.2423347	0.1726467	0.17519505	0.08722785	0.24942885	0.23672605	0.224208	0.2405002	0.23498335	0.23219995	0.2069463	0.149945	0.28340775	0.2464842	0.2320894	0.22391085	0.21951455	0.24132715	0.17975415	0.25949065	0.23671535	0.22998925	0.23019945	0.2047835	0.3021897	0.24432015	0.25786115	0.25892885	0.2581314	0.2316621
K3.B	0.12235305	0.2435389	0.31686565	0.12331465	0.1292199	0.1544186	0.0	0.28092365	0.29463755	0.1551155	0.33981915	0.1929171	0.27573175	0.31205675	0.3199061	0.2834893	0.26244485	0.12761285	0.1015384	0.1264744	0.180629	0.30149245	0.17629085	0.12772065	0.317005	0.28325465	0.2621825	0.29643305	0.15447095	0.1407926	0.1232007	0.20974325	0.2997659	0.31028805	0.31046225	0.14291735	0.2423964	0.32663895	0.3157604	0.2047283	0.1517633	0.29911625	0.2994374	0.3162925	0.25129115	0.1478679	0.1632047	0.3196252	0.3238822	0.3301922	0.29405515	0.34125255	0.34008795	0.1348868	0.29398915	0.32066175	0.31531545	0.2960397	0.2841004	0.3228244	0.24369865	0.2655803	0.3251603	0.1803555	0.08807235	0.12286855	0.32958545	0.31632455	0.3102705	0.3170658	0.31394035	0.30650365	0.2873273	0.168033	0.29853695	0.3303104	0.3110945	0.20301415	0.29587055	0.31346705	0.26346325	0.34119085	0.31096045	0.31160955	0.29853515	0.1941648	0.2734476	0.32319375	0.32004285	0.32625695	0.3362185	0.309905
K3.C	0.3261861	0.13846975	0.268486	0.2097514	0.22750215	0.30760795	0.28092365	0.0	0.2825805	0.30772375	0.1073124	0.31317955	0.3896516	0.4164152	0.42054555	0.38989665	0.3791641	0.2987464	0.31868995	0.23126825	0.22333175	0.4005536	0.3405568	0.2869981	0.41033835	0.4109332	0.38442075	0.3987076	0.3199998	0.34017315	0.26590085	0.3154236	0.39785575	0.4069553	0.4239538	0.2744151	0.39404615	0.4148187	0.41534805	0.26653545	0.36371755	0.4061392	0.40313665	0.41298955	0.390658	0.28972005	0.20176425	0.43172565	0.41437555	0.42386155	0.4089132	0.4271518	0.4325747	0.33406935	0.4037258	0.4160908	0.4126202	0.40701645	0.38944595	0.41908185	0.3678956	0.39813035	0.42392375	0.32709665	0.269406	0.3094001	0.4220797	0.4141036	0.40563025	0.41767255	0.413535	0.4186158	0.39501405	0.32660095	0.3702741	0.42115195	0.41532005	0.3078025	0.3990858	0.4205033	0.4090115	0.434945	0.4227021	0.414163	0.4023489	0.30803985	0.10231345	0.4195378	0.4298169	0.4378187	0.42856295	0.41950095
M2.Thumb.L	0.3590111	0.30911945	0.0898732	0.2467012	0.27528505	0.28210155	0.29463755	0.2825805	0.0	0.19307015	0.332736	0.21388395	0.3433805	0.3622272	0.35519465	0.33514305	0.3297773	0.2997338	0.31322105	0.28103765	0.29698265	0.3483415	0.2749982	0.3227665	0.34938375	0.3591028	0.33722785	0.338033	0.3190698	0.33328935	0.22576845	0.1457189	0.33881755	0.3437599	0.3569144	0.3039935	0.34793925	0.3590393	0.35351275	0.16193645	0.33185775	0.3520474	0.34147995	0.34434285	0.3375367	0.28082595	0.22260605	0.36814535	0.34811885	0.35455265	0.3545792	0.3502882	0.364436	0.31068735	0.3475372	0.3537961	0.3522405	0.34918255	0.32193235	0.34293715	0.3089605	0.34486435	0.35590025	0.23087935	0.267646	0.2919271	0.3651313	0.3523186	0.34498955	0.35346545	0.3514814	0.3571619	0.33416525	0.28980395	0.1302873	0.35034125	0.35597755	0.1412796	0.3423015	0.3568002	0.3837632	0.359683	0.3632662	0.3547937	0.3503695	0.17423645	0.24863565	0.3531673	0.3640663	0.3688218	0.36229575	0.35314385
M2.Pinky.L	0.22647055	0.3088587	0.20669425	0.16376955	0.2123185	0.2124606	0.1551155	0.30772375	0.19307015	0.0	0.36690205	0.1880669	0.31324855	0.32781135	0.3324739	0.3066889	0.29584405	0.21258305	0.1772389	0.2083279	0.2664422	0.31465785	0.21724595	0.21488905	0.3265047	0.31822345	0.2980356	0.31591895	0.22462605	0.213413	0.130434	0.11804395	0.3114305	0.32197155	0.33906625	0.22651725	0.297008	0.33232975	0.323883	0.1549429	0.2225093	0.30810845	0.3225383	0.3182452	0.28543015	0.2066988	0.2200972	0.3479544	0.32818	0.337556	0.30285065	0.33951045	0.34953035	0.2118749	0.31537235	0.33358485	0.32726255	0.3056894	0.304308	0.3268041	0.25951885	0.2789468	0.3410546	0.1428604	0.12725215	0.19823335	0.33847075	0.32503175	0.3264348	0.3296059	0.32486375	0.31832685	0.2961577	0.2100875	0.20524585	0.3308319	0.3171066	0.11845725	0.30217765	0.32863205	0.30552955	0.34583755	0.32210115	0.32722085	0.31260555	0.1544111	0.2799049	0.32584195	0.34935935	0.35149865	0.341045	0.3133107
