	sequences per sample	iteration	K3.H	K3.Z	M2.Middle.L	K3.A	K3.V	K3.K	K3.B	K3.C	M2.Thumb.L	M2.Pinky.L	K3.E	M2.Middle.R	M3.Pinky.L	K1.Space	K1.N	K1.Shift.R	M3.Pinky.R	K3.Enter	K3.U	K3.Q	K3.Space	K1.Y	M2.Index.R	K3.G	K1.G	M3.Thumb.R	K1.R	K1.M	K3.J	K3.Y	K3.T	M2.Ring.R	K1.W	K1.T	M3.Middle.L	K3.I	M3.Ring.R	K1.B	K2.G	K3.W	K3.M	K2.B	K1.P	K2.N	M3.Index.R	K3.L	K3.F	K1.L	K1.H	K1.V	K2.Enter	M3.Ring.L	K1.C	K3.O	K2.F	M9.Middle.R	M9.Ring.R	M9.Thumb.L	K1.Q	K2.Y	M3.Middle.R	M9.Thumb.R	M3.Thumb.L	M2.Pinky.R	K3.Shift.R	K3.Shift.L	K2.E	M9.Pinky.R	K1.X	M9.Ring.L	K2.S	K2.H	K1.E	M2.Thumb.R	M2.Ring.L	K2.C	M9.Index.R	M2.Index.L	K2.V	K2.O	M9.Index.L	K2.W	K2.D	M3.Index.L	M9.Pinky.L	K3.S	K3.D	K2.X	K2.A	K2.P	M9.Middle.L	K2.M
alpha_rarefaction_10_0.txt	10	0	7.0	9.0	7.0	8.0	9.0	6.0	10.0	8.0	8.0	8.0	7.0	7.0	6.0	5.0	6.0	5.0	3.0	7.0	7.0	9.0	7.0	3.0	8.0	7.0	3.0	4.0	6.0	7.0	8.0	7.0	9.0	9.0	3.0	5.0	5.0	8.0	3.0	3.0	5.0	9.0	6.0	4.0	2.0	5.0	6.0	9.0	10.0	7.0	3.0	4.0	3.0	1.0	3.0	9.0	3.0	1.0	2.0	5.0	3.0	4.0	4.0	5.0	2.0	10.0	9.0	8.0	2.0	3.0	4.0	3.0	4.0	3.0	3.0	9.0	8.0	2.0	2.0	6.0	2.0	2.0	3.0	2.0	4.0	2.0	5.0	8.0	8.0	4.0	3.0	3.0	2.0	2.0
alpha_rarefaction_10_1.txt	10	1	8.0	9.0	8.0	9.0	9.0	7.0	9.0	9.0	7.0	7.0	9.0	7.0	5.0	3.0	1.0	5.0	3.0	9.0	7.0	10.0	9.0	4.0	9.0	8.0	4.0	6.0	6.0	4.0	9.0	8.0	9.0	9.0	3.0	5.0	3.0	8.0	5.0	1.0	5.0	9.0	8.0	2.0	2.0	1.0	2.0	8.0	9.0	6.0	4.0	4.0	3.0	3.0	2.0	8.0	4.0	4.0	2.0	4.0	5.0	2.0	5.0	4.0	3.0	9.0	10.0	8.0	2.0	4.0	6.0	4.0	1.0	5.0	3.0	9.0	8.0	2.0	1.0	7.0	5.0	2.0	4.0	3.0	1.0	3.0	3.0	9.0	10.0	1.0	5.0	2.0	4.0	4.0
alpha_rarefaction_10_2.txt	10	2	8.0	8.0	5.0	7.0	10.0	9.0	7.0	10.0	8.0	8.0	9.0	9.0	3.0	3.0	4.0	5.0	4.0	8.0	6.0	10.0	9.0	4.0	9.0	9.0	5.0	4.0	4.0	4.0	9.0	8.0	8.0	9.0	2.0	4.0	4.0	9.0	6.0	1.0	6.0	9.0	7.0	6.0	4.0	1.0	6.0	8.0	10.0	3.0	4.0	2.0	3.0	3.0	2.0	6.0	4.0	3.0	3.0	4.0	4.0	2.0	8.0	4.0	4.0	10.0	9.0	8.0	3.0	3.0	5.0	4.0	3.0	3.0	4.0	8.0	9.0	2.0	2.0	9.0	2.0	2.0	4.0	3.0	2.0	4.0	2.0	8.0	7.0	3.0	4.0	4.0	2.0	3.0
alpha_rarefaction_10_3.txt	10	3	8.0	9.0	6.0	9.0	10.0	7.0	8.0	9.0	9.0	6.0	9.0	9.0	7.0	5.0	3.0	5.0	5.0	8.0	9.0	10.0	8.0	4.0	10.0	8.0	2.0	5.0	5.0	6.0	9.0	10.0	6.0	6.0	3.0	3.0	2.0	10.0	6.0	5.0	4.0	9.0	8.0	3.0	2.0	5.0	7.0	10.0	7.0	5.0	3.0	2.0	4.0	2.0	3.0	6.0	4.0	4.0	2.0	2.0	4.0	5.0	5.0	5.0	2.0	6.0	8.0	8.0	3.0	4.0	5.0	2.0	3.0	4.0	3.0	8.0	7.0	2.0	1.0	9.0	3.0	2.0	5.0	3.0	2.0	4.0	4.0	8.0	9.0	2.0	4.0	4.0	1.0	4.0
alpha_rarefaction_10_4.txt	10	4	7.0	9.0	7.0	6.0	9.0	8.0	8.0	10.0	9.0	9.0	8.0	8.0	4.0	4.0	3.0	4.0	3.0	7.0	8.0	10.0	9.0	2.0	7.0	9.0	2.0	5.0	5.0	3.0	9.0	6.0	7.0	6.0	4.0	3.0	2.0	9.0	8.0	4.0	2.0	7.0	5.0	3.0	3.0	2.0	5.0	8.0	8.0	4.0	5.0	4.0	3.0	2.0	3.0	8.0	3.0	2.0	6.0	3.0	3.0	2.0	7.0	2.0	5.0	10.0	8.0	6.0	3.0	3.0	4.0	2.0	3.0	2.0	2.0	10.0	7.0	4.0	4.0	8.0	4.0	4.0	4.0	1.0	3.0	4.0	3.0	8.0	8.0	5.0	3.0	5.0	1.0	1.0
alpha_rarefaction_10_5.txt	10	5	8.0	7.0	8.0	9.0	9.0	8.0	9.0	9.0	8.0	9.0	7.0	10.0	6.0	3.0	3.0	4.0	4.0	8.0	9.0	9.0	10.0	3.0	9.0	9.0	4.0	5.0	5.0	4.0	8.0	7.0	7.0	10.0	5.0	5.0	5.0	10.0	8.0	3.0	3.0	9.0	8.0	3.0	5.0	3.0	6.0	8.0	9.0	3.0	3.0	5.0	3.0	5.0	2.0	6.0	5.0	3.0	5.0	4.0	7.0	5.0	3.0	5.0	3.0	5.0	9.0	8.0	2.0	1.0	2.0	2.0	2.0	5.0	3.0	8.0	8.0	1.0	4.0	8.0	3.0	2.0	3.0	3.0	1.0	3.0	4.0	8.0	8.0	4.0	5.0	4.0	2.0	3.0
alpha_rarefaction_10_6.txt	10	6	8.0	9.0	7.0	9.0	9.0	9.0	7.0	9.0	7.0	9.0	8.0	8.0	7.0	2.0	4.0	7.0	5.0	10.0	5.0	9.0	8.0	4.0	9.0	9.0	3.0	2.0	5.0	9.0	9.0	7.0	8.0	10.0	2.0	3.0	4.0	10.0	6.0	2.0	5.0	9.0	8.0	3.0	6.0	2.0	3.0	9.0	9.0	6.0	7.0	3.0	3.0	1.0	3.0	7.0	4.0	2.0	2.0	5.0	4.0	4.0	7.0	3.0	6.0	7.0	7.0	7.0	4.0	2.0	3.0	4.0	3.0	3.0	3.0	7.0	9.0	3.0	5.0	8.0	2.0	3.0	3.0	4.0	3.0	3.0	4.0	9.0	10.0	4.0	2.0	1.0	3.0	3.0
alpha_rarefaction_10_7.txt	10	7	8.0	9.0	7.0	10.0	10.0	7.0	9.0	9.0	8.0	8.0	9.0	9.0	5.0	6.0	3.0	4.0	5.0	9.0	7.0	10.0	9.0	4.0	7.0	9.0	4.0	6.0	6.0	3.0	8.0	5.0	9.0	8.0	6.0	4.0	3.0	9.0	6.0	3.0	1.0	9.0	7.0	4.0	4.0	3.0	7.0	9.0	7.0	2.0	4.0	2.0	3.0	2.0	2.0	8.0	5.0	4.0	3.0	5.0	3.0	3.0	5.0	3.0	3.0	5.0	7.0	7.0	3.0	6.0	2.0	2.0	2.0	3.0	3.0	8.0	6.0	5.0	3.0	8.0	1.0	3.0	2.0	1.0	4.0	2.0	3.0	7.0	9.0	4.0	4.0	2.0	3.0	1.0
alpha_rarefaction_10_8.txt	10	8	9.0	9.0	8.0	6.0	9.0	5.0	10.0	9.0	6.0	8.0	7.0	8.0	3.0	1.0	4.0	4.0	2.0	9.0	9.0	8.0	9.0	5.0	8.0	7.0	5.0	4.0	3.0	2.0	8.0	6.0	8.0	9.0	6.0	3.0	3.0	8.0	7.0	1.0	1.0	9.0	7.0	6.0	4.0	2.0	6.0	9.0	7.0	5.0	2.0	2.0	4.0	3.0	4.0	7.0	4.0	5.0	3.0	4.0	3.0	3.0	5.0	2.0	2.0	9.0	6.0	5.0	4.0	4.0	4.0	1.0	3.0	3.0	5.0	9.0	7.0	1.0	5.0	9.0	4.0	2.0	3.0	3.0	3.0	2.0	5.0	9.0	8.0	3.0	4.0	2.0	3.0	4.0
alpha_rarefaction_10_9.txt	10	9	7.0	8.0	8.0	8.0	8.0	9.0	6.0	10.0	7.0	8.0	10.0	9.0	8.0	3.0	4.0	5.0	7.0	8.0	8.0	10.0	10.0	4.0	10.0	9.0	6.0	2.0	6.0	2.0	7.0	7.0	9.0	9.0	5.0	4.0	3.0	9.0	5.0	3.0	3.0	9.0	7.0	6.0	4.0	2.0	6.0	8.0	10.0	7.0	4.0	2.0	5.0	2.0	3.0	6.0	5.0	2.0	2.0	6.0	4.0	3.0	7.0	5.0	5.0	8.0	8.0	7.0	2.0	4.0	3.0	3.0	4.0	2.0	5.0	10.0	8.0	3.0	4.0	9.0	3.0	2.0	3.0	4.0	4.0	4.0	6.0	7.0	8.0	1.0	6.0	3.0	3.0	2.0
