	K3.H	K3.Z	M2.Middle.L	K3.A	K3.V	K3.K	K3.B	K3.C	M2.Thumb.L	M2.Pinky.L	K3.E	M2.Middle.R	M3.Pinky.L	K1.Space	K1.N	K1.Shift.R	M3.Pinky.R	K3.Enter	K3.U	K3.Q	K3.Space	K1.Y	M2.Index.R	K3.G	K1.G	M3.Thumb.R	K1.R	K1.M	K3.J	K3.Y	K3.T	M2.Ring.R	K1.W	K1.T	M3.Middle.L	K3.I	M3.Ring.R	K1.B	K2.G	K3.W	K3.M	K2.B	K1.P	K2.N	M3.Index.R	K3.L	K3.F	K1.L	K1.H	K1.V	K2.Enter	M3.Ring.L	K1.C	K3.O	K2.F	M9.Middle.R	M9.Ring.R	M9.Thumb.L	K1.Q	K2.Y	M3.Middle.R	M9.Thumb.R	M3.Thumb.L	M2.Pinky.R	K3.Shift.R	K3.Shift.L	K2.E	M9.Pinky.R	K1.X	M9.Ring.L	K2.S	K2.H	K1.E	M2.Thumb.R	M2.Ring.L	K2.C	M9.Index.R	M2.Index.L	K2.V	K2.O	M9.Index.L	K2.W	K2.D	M3.Index.L	M9.Pinky.L	K3.S	K3.D	K2.X	K2.A	K2.P	M9.Middle.L	K2.M
K3.H	0.0	0.523521560378	0.67276368783	0.586569601744	0.534156376027	0.531323926014	0.514936137185	0.62665457624	0.651521774552	0.625037698851	0.6915950866	0.561057061446	0.673775644709	0.691528605737	0.772767774737	0.661774036716	0.607096844658	0.489274120641	0.478237821392	0.564298656849	0.506312512406	0.632001177952	0.61899691956	0.531848562993	0.607483460257	0.645219771194	0.689288557361	0.631371159709	0.456451162043	0.445134243823	0.532977880697	0.629701379597	0.657605394241	0.635455591101	0.680764432472	0.496217811476	0.585863710143	0.606173694295	0.682472169118	0.546221553136	0.552734075644	0.725479685452	0.628579738268	0.653858094414	0.664090204584	0.567672376963	0.568116518135	0.6615704389	0.679950455261	0.654727117786	0.710533226225	0.635021122136	0.73090088235	0.524335773765	0.687993996362	0.70707425284	0.648436956606	0.715458433922	0.635989803432	0.736642576937	0.679073736601	0.618983065491	0.70844215124	0.592271286998	0.50006743377	0.477678761175	0.746765891441	0.71093420654	0.646987710532	0.700469945889	0.663636231129	0.758818122734	0.653579441647	0.645800645256	0.669083405303	0.691642195197	0.658213352334	0.617110895089	0.693752965653	0.69060155292	0.679284684378	0.762573669331	0.72617776173	0.639747977173	0.686496623545	0.563084546632	0.58738509374	0.686068026089	0.701319303454	0.735063417891	0.746752464594	0.662689091657
K3.Z	0.523521560378	0.0	0.533294003006	0.448657006845	0.429814862008	0.472245250841	0.493453959783	0.469345515152	0.55187520584	0.56927912509	0.527123136884	0.501940288959	0.654684206785	0.723923714997	0.747400249786	0.651417545675	0.642025434003	0.473600977608	0.468137563838	0.384565642041	0.404347839591	0.640523001719	0.618189894311	0.512263102891	0.679808472192	0.676781312687	0.713402523625	0.652120318575	0.518719462695	0.522486659409	0.458038856556	0.570451816593	0.661867953174	0.707054406636	0.681707765764	0.45569081162	0.729477787347	0.637702980167	0.694599732253	0.399383387406	0.552326210861	0.770320133627	0.626895209434	0.603722614334	0.671875033006	0.575991425731	0.36443751584	0.707592406196	0.678116754017	0.665607364613	0.71871365539	0.74598403424	0.714814978601	0.531311841062	0.753805147393	0.723271936383	0.667569194461	0.713736398978	0.638047376734	0.744541844609	0.696775501968	0.666578796151	0.69858739092	0.562941340938	0.372273006564	0.488666969892	0.732571833603	0.743221102163	0.689458513578	0.706068092361	0.698932345571	0.775166307657	0.643569510159	0.635271620997	0.578091748755	0.700303247846	0.68935119276	0.533861477312	0.760089876061	0.675055103086	0.706578213983	0.788066350215	0.694600078927	0.712015048537	0.737734208338	0.433559297813	0.432857500683	0.699578045936	0.690341380264	0.733209554095	0.763628427375	0.694686255474
M2.Middle.L	0.67276368783	0.533294003006	0.0	0.444066361153	0.516096879153	0.487024559611	0.497323489006	0.4498772032	0.353094048784	0.466163619777	0.446191493636	0.516646182025	0.672450568941	0.78172766321	0.773491559124	0.680220459974	0.712903612522	0.554503483722	0.548262131513	0.582547986328	0.58532973595	0.692963387481	0.615895017685	0.600942713852	0.751074302357	0.730019170066	0.721671882982	0.708488799383	0.640356419887	0.6327342744	0.476048777069	0.512993013769	0.655934705809	0.727423755369	0.681161943851	0.620679365182	0.788824607849	0.735430828955	0.728482117696	0.55263467561	0.64525010937	0.795740220591	0.676455669464	0.694316021072	0.67170223142	0.583528827605	0.574805423106	0.780484973192	0.740840305118	0.723405311492	0.771733039678	0.744712129469	0.761378790417	0.574377629077	0.775472381696	0.730797740064	0.729664053382	0.634620500436	0.675699299445	0.745454186244	0.709119640771	0.745123301847	0.704369082294	0.573123602194	0.479247379309	0.57839384517	0.806437655846	0.706847280741	0.743996812893	0.759066397087	0.745919375515	0.814267648039	0.701561221657	0.611691058745	0.319511718368	0.738589859577	0.657523190515	0.456590663487	0.730686074637	0.747158314725	0.677745634592	0.763109511006	0.763158703284	0.786193985272	0.791329754428	0.51950309351	0.407446792577	0.750099457156	0.736669030395	0.780112075087	0.796599470083	0.694161713602
K3.A	0.586569601744	0.448657006845	0.444066361153	0.0	0.501333697387	0.477483652363	0.511254732124	0.476761170588	0.516170143658	0.571112438618	0.526521002661	0.531482655386	0.653527669202	0.747747676603	0.740902589656	0.664810503483	0.63574105119	0.518225496398	0.486231881364	0.518953475728	0.511321562297	0.64762724735	0.637697030404	0.562113358558	0.720355037408	0.697694048135	0.65562344348	0.636718337661	0.540545191398	0.511944887201	0.481467163965	0.53933467443	0.640600124662	0.701382734426	0.680170135092	0.524537365519	0.72657962326	0.664599414426	0.68424536315	0.464593432329	0.56183747332	0.785073347712	0.6215245067	0.64311022576	0.630014708445	0.535235854943	0.438500226505	0.71743541815	0.675189264128	0.641291355614	0.726459174554	0.708643203687	0.728542934876	0.485705641915	0.750604379001	0.665259707026	0.638225516569	0.674966433509	0.59172269794	0.760098561781	0.664625495476	0.726763837473	0.652399333502	0.507852954382	0.443851295056	0.455229400284	0.743720673882	0.688351984559	0.714512597851	0.69786504003	0.706535582519	0.781053653575	0.647126841556	0.630480693895	0.524128162621	0.696992879065	0.647823223506	0.498879592211	0.720115520022	0.720780140299	0.650310383574	0.747821356134	0.685056561204	0.72723835128	0.732638818931	0.46613815934	0.482639454979	0.726119891093	0.69578095492	0.724856234156	0.731951588596	0.666765069805
K3.V	0.534156376027	0.429814862008	0.516096879153	0.501333697387	0.0	0.497413304327	0.40077230322	0.436971935442	0.554237100003	0.503114419374	0.556566621776	0.414289173722	0.610978160547	0.718190713901	0.7412304493	0.606942499769	0.63652404249	0.433948987543	0.420896872381	0.40680996015	0.452356133257	0.615756768162	0.533434397899	0.418719109978	0.680477380214	0.656951533787	0.695356350156	0.652225157207	0.484870761713	0.564482964585	0.392400626158	0.542557844194	0.633540504323	0.715188770196	0.644012617559	0.50803464903	0.696877095247	0.630032422529	0.683366636346	0.500944856766	0.513634418373	0.761493923665	0.615966754508	0.634302698292	0.655016285479	0.557166597924	0.466745764537	0.707002847297	0.694196722591	0.677277572993	0.729859091757	0.742504464388	0.741568782787	0.519268394682	0.748791430042	0.706636152294	0.654877436308	0.669778966836	0.661327142448	0.734709310143	0.659071253371	0.593082793067	0.691310559113	0.540449775539	0.376731588425	0.476696632266	0.756631022856	0.727288173778	0.644256218287	0.688363511274	0.712370709683	0.789868309233	0.647148009109	0.523230882649	0.597194424183	0.742416640231	0.653776152213	0.46916781489	0.711659413463	0.689797234494	0.640052707647	0.783688179393	0.685148568628	0.698486712771	0.659893510941	0.496302898006	0.425855508757	0.704479145987	0.66726769778	0.722872223741	0.74613303344	0.708571483383
K3.K	0.531323926014	0.472245250841	0.487024559611	0.477483652363	0.497413304327	0.0	0.422457940513	0.44107553051	0.523234831791	0.527498870205	0.50944130791	0.504983481793	0.653991202685	0.738347770261	0.759969332503	0.661372381286	0.670837153815	0.454445375484	0.434832188328	0.529517684887	0.50722702548	0.642186712804	0.600391167497	0.488744354599	0.664498378912	0.643966806305	0.683226786044	0.678839488234	0.549411929646	0.575788693362	0.483684372685	0.529593745205	0.612436816906	0.689905732959	0.683793643058	0.528683408569	0.748857544698	0.663101649241	0.653626601732	0.484299756919	0.556966473377	0.741813898704	0.635372937567	0.623735529975	0.64139474473	0.553507137001	0.510221972335	0.731495564842	0.697221892141	0.690591665502	0.67510648747	0.705859206627	0.749892554241	0.532846667385	0.736082131879	0.651613666097	0.625132710105	0.640475804117	0.644869120462	0.698245869842	0.686329166965	0.604754953648	0.662821600824	0.573118910958	0.46811444029	0.458536914898	0.75101985589	0.651167409235	0.664774326195	0.689465734808	0.678554009966	0.73945991521	0.65062516013	0.602279957155	0.495228978268	0.708005076126	0.550518896152	0.543189325017	0.718703054196	0.685658173549	0.681406859513	0.70106132183	0.711359939194	0.729621159317	0.730786522218	0.512851889376	0.462051125369	0.70234737763	0.721515101122	0.727766709198	0.755623395929	0.646509995113
K3.B	0.514936137185	0.493453959783	0.497323489006	0.511254732124	0.40077230322	0.422457940513	0.0	0.45613828622	0.492150749442	0.477927511615	0.553687403744	0.460639000105	0.618328713363	0.701574637251	0.718817213637	0.630349647819	0.632750819337	0.397688529901	0.385466474477	0.439447968106	0.464551524004	0.603865526832	0.529225394561	0.481650396974	0.670721456304	0.651778095307	0.681440792302	0.656605329635	0.545430695889	0.55676182379	0.448965068103	0.500592404381	0.653431670642	0.711660662237	0.653479144556	0.483516843489	0.680591898556	0.639878425112	0.672625287697	0.508864679688	0.533108967345	0.720786021387	0.612966591691	0.645419619792	0.635403666854	0.539729710361	0.491583335979	0.709441169705	0.703884809053	0.698604208668	0.691322851044	0.704395016954	0.748660091039	0.484728486808	0.739124882351	0.699752384704	0.650006312436	0.649372643975	0.640071258099	0.728012200599	0.63684894159	0.596069419258	0.686683128383	0.566743384603	0.413447352731	0.477482720634	0.756914841017	0.684563666017	0.648688793869	0.655358143842	0.72260024929	0.768256768081	0.650114632333	0.526113105494	0.528890659409	0.749848652374	0.596823621155	0.468247620372	0.687837326919	0.690936279077	0.67398078727	0.74352738701	0.69978142313	0.706471467777	0.685300854769	0.474656373609	0.434805837668	0.723919270663	0.679777115933	0.738917874297	0.735847719979	0.683968826485
K3.C	0.62665457624	0.469345515152	0.4498772032	0.476761170588	0.436971935442	0.44107553051	0.45613828622	0.0	0.48302516188	0.531990567728	0.395032655913	0.475915639123	0.689065424681	0.782275099367	0.787128187377	0.69640427619	0.711457844237	0.49470345316	0.512863256931	0.479619782783	0.498269254287	0.703298723101	0.567052993096	0.513947044878	0.711101360447	0.734773542818	0.747334348819	0.728791216708	0.573695099702	0.608441946843	0.501855412454	0.534769194976	0.69970296044	0.759451553617	0.72067645559	0.537631210722	0.774924503631	0.698082062662	0.741654307464	0.451498145449	0.657205603647	0.801918481618	0.67839134526	0.708720362566	0.703656322586	0.592896501827	0.505072970217	0.790890392014	0.75762555387	0.745140890859	0.776350213736	0.753271398243	0.785617459241	0.556795536526	0.800004295774	0.7502952435	0.723173829295	0.707057986942	0.694515350042	0.783946523922	0.721086397047	0.709012758575	0.73559866224	0.612378373096	0.424683954582	0.549604213156	0.790595909458	0.739773897563	0.727143071877	0.748496569952	0.760298434782	0.816541339339	0.706011831225	0.583634182873	0.542419786314	0.785317017499	0.696465971234	0.457736534443	0.768622479549	0.761028457254	0.72397538249	0.798567609316	0.768544487032	0.762404331809	0.74207391028	0.479344844186	0.399068284079	0.765418435171	0.744151892162	0.7816737405	0.78176814429	0.748575224306
M2.Thumb.L	0.651521774552	0.55187520584	0.353094048784	0.516170143658	0.554237100003	0.523234831791	0.492150749442	0.48302516188	0.0	0.515084139128	0.457610458413	0.525742849731	0.669279804313	0.795864092177	0.786570905049	0.700219814925	0.721469278523	0.571496939971	0.570532447166	0.606284519598	0.598342658208	0.706081532881	0.652826955422	0.61417729793	0.739646152056	0.754147946797	0.738033172908	0.712834613157	0.630859007413	0.676245534939	0.546208275374	0.517423395787	0.682917436207	0.717555983398	0.698726148633	0.632587123984	0.775069218461	0.751615210283	0.753979576787	0.545138794846	0.699491491224	0.807733474819	0.675335465803	0.693685215351	0.683107732981	0.569688406757	0.589542065651	0.790122589236	0.770808773863	0.745227094473	0.801565689929	0.73845598031	0.778824927699	0.617167685993	0.79276903961	0.727531256292	0.733298936363	0.648777203741	0.665785757098	0.749875263543	0.719649488583	0.737002395637	0.727731541484	0.620248268054	0.509635056335	0.576765276916	0.807616935021	0.7170511995	0.749300361549	0.772105065207	0.753805267713	0.828939105016	0.703620963266	0.62260826019	0.408206143443	0.752121067344	0.673815253163	0.542221372339	0.727162906154	0.75607283962	0.670702993609	0.790885424438	0.792418646161	0.774159603386	0.788922248922	0.542628604395	0.424713265773	0.74944280529	0.757560927171	0.776537523072	0.802570719827	0.707700732039
M2.Pinky.L	0.625037698851	0.56927912509	0.466163619777	0.571112438618	0.503114419374	0.527498870205	0.477927511615	0.531990567728	0.515084139128	0.0	0.568408446919	0.551320248897	0.615288555472	0.712857394879	0.725673025831	0.636731077824	0.627009397457	0.507449446859	0.538996955794	0.515787745909	0.60413019523	0.607980926961	0.569937543153	0.595103319711	0.694045728905	0.677249334991	0.724719159654	0.686200120725	0.617783889878	0.649095753517	0.48066469633	0.473407229823	0.644917668441	0.699265108241	0.64928657578	0.60801797311	0.70271927663	0.64310754686	0.686920040477	0.516471578989	0.559671841752	0.703536109354	0.634736480408	0.620801308162	0.644471522446	0.559083208085	0.598264084662	0.701467688574	0.708302801499	0.717755116258	0.703080871181	0.728097124608	0.768831749711	0.563521728109	0.754777118568	0.74624943296	0.702136872477	0.590837208056	0.654992904175	0.711693934634	0.657508284548	0.614958384464	0.7256483014	0.568068267932	0.484953170399	0.578086258205	0.767476981251	0.658296406473	0.68218290698	0.674669774784	0.703738982655	0.769308979935	0.668941746075	0.537722826411	0.511278611693	0.73747435274	0.646759399809	0.42828854741	0.628137660441	0.686111912316	0.650833769327	0.778668079305	0.702622039992	0.726148096687	0.700377277756	0.570213200307	0.489453037883	0.687726472375	0.747538551244	0.737667890584	0.7239538876	0.661062328898
